2758	<sen_neu> See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	ERR
9845	<sen_neg> Are you one of the 74 stalkers watching my talkpage? Why?!	Jsi jeden z 74 sledovatelů , kteří sledují mou stránku ? Proč ? !	[0, 1, 0]	ERR
38	<sen_neu> I believe we now have a fully-referenced article.	Domnívám se , že nyní máme plně odkazovaný článek .	[0, 0, 0]	NOT
9117	<sen_neg> FUCK YOU, GO SUCK SOME DOG COCK! YOU FUCKING DICK LICKERS!	Do prdele , pojď sehnat nějakou děvku , ty seš děvka !	[1, 1, 1]	ERR
7915	<sen_neg> NARS, SnePS and polyscheme seem to be among the more advanced projects not yet listed on this page.	NARS , SnePS a polyscheme se zdá být mezi pokročilejšími projekty , které ještě nejsou uvedeny na této stránce .	[0, 0, 0]	NOT
9017	<sen_neg> Not that I care because she is still smoking hot and I want to tit fuck her and cum on her face.	Ne , že by mě to zajímalo , protože pořád kouří horko a já bych ji chtěl vykouřit a vykouřit na tváři .	[1, 1, 1]	ERR
5103	<sen_neu> What? Just read this now. What? Please Fred, what is this about? How are these editors and what is there issue?	Prosím , Frede , o čem to je ? Jak jsou tihle editori a co to je problém ?	[0, 0, 3]	NOT
1296	<sen_neg> please delete my account i dont respect wikipedia anymore. suck ittttttt!!!!	Prosím , vymazat můj účet I dont respektovat wikipedia více . suck Wwwttttt ! ! ! !	[1, 0, 1]	ERR
6017	<sen_neg> YOU ARE A FAT, GEEKY PRICK WHO HAS NOTHING TO DO ON A WEEKEND BUT MONITOR WIKIPEDIA. I HOPE YOU SUFFOCATE UNDER YOUR OWN SADNESS.	Jsi dědeček , úchylný hajzl , který nemá na víkendu nic jiného , než pozorovatele WIKIPEDIA .	[1, 1, 1]	ERR
8573	<sen_pos> Also just noticed that you edited my userpage to add contributions. Thanks, my pet! *glomples*	Také jsem si všiml , že jste upravili moji uživatelskou stránku , abyste přidali příspěvky . Díky , můj mazlíček ! *glomples*	[0, 0, 0]	NOT
4951	<sen_neg> Man, you are another wikitard aren't you. What pusses.	Ty jsi další wikitard , že ?	[1, 1, 1]	ERR
2823	<sen_neu> preferi'm gonna keep vandaling as much as it want especially your pageto	preferi budu pokračovat v vandaling tak moc , jak to chce , zejména vaše stránky na	[3, 1, 1]	ERR
2392	<sen_neg> whole nickers comment, you deserved it for being so stupid	celý nickers komentář , sis to zasloužil za to , že jsi tak hloupý	[0, 0, 0]	NOT
8485	<sen_neu> Sales Why isnt the fact that they are the 3rd best selling hip hop/rap act of all time(only beaten by 2pac and eminem) here.	Prodej Proč není skutečnost , že jsou třetím nejlepším prodejem hip hop / rap aktu všech dob ( pouze poražen 2pac a eminem ) zde .	[0, 0, 1]	ERR
6066	<sen_pos> Please also be sure to cite a reliable source when you add or change information in any article. Thanks!	Ujistěte se také , že při přidání nebo změně informací v jakémkoliv článku uvedete spolehlivý zdroj . Děkujeme !	[0, 0, 0]	NOT
5102	<sen_pos> go on with the map EHT and without a doubt put the contemporary borders, just like the British Empire. cheers	pokračovat s mapou EHT a bezpochyby dát současné hranice , stejně jako britská říše . zdravím	[0, 0, 0]	NOT
838	<sen_neu> Indeed, that term was used in pubs in Bantry. The term	Ve skutečnosti se tento termín používal v hospodách v Bantry .	[0, 0, 1]	ERR
3615	<sen_neg> My final statements in the discussion above show that I have been swayed by sources not listed here.	Moje závěrečné prohlášení z výše uvedené diskuse ukazují , že jsem byl ovlivněn zdroji , které zde nejsou uvedeny .	[0, 0, 0]	NOT
7077	<sen_neg> Just curious, why did you remove my edits and additional reference from the Victoria Vox article? )	Jen mě zajímalo , proč jste odstranili mé úpravy a další odkaz z článku Victoria Vox ? )	[0, 0, 0]	NOT
2734	<sen_neg> Wikipedia, Nazis controlling the flow of information.	Wikipedie , nacisté kontrolují tok informací .	[0, 0, 0]	NOT
682	<sen_neu> then leave the fazlur rahman khan article the way it is. do not delete it.	pak opustit fazlur rahman Khan článek tak , jak to je . Nevymazat ho .	[0, 3, 0]	NOT
6786	<sen_neu> I have added bold type to any major change to the Neve history.	Přidal jsem odvážný typ ke všem významným změnám v historii Neve .	[1, 1, 1]	ERR
8463	<sen_neu> Oh, Is it not allowed to have twitter links? I see them everywhere for bio pages.	Oh , Není povoleno mít Twitter odkazy ? Vidím je všude na bio stránky .	[0, 0, 0]	NOT
8276	<sen_neu> REDIRECT Talk:Sir Charles Nicholson, 1st Baronet, of Harrington Gardens	Přehled : Sir Charles Nicholson , 1 . baronát z Harrington Gardens	[0, 0, 1]	ERR
5001	<sen_neg> than the puff piece used to support literally the entire edifice of the article	než ta látka , která doslova podpořila celý objekt článku	[0, 1, 0]	ERR
9483	<sen_neg> How could Muhammad have been the author if he was illiterate?	Jak by mohl být Muhammad autorem , kdyby byl negramotný ?	[1, 0, 0]	ERR
6862	<sen_pos> Just incase anyone is interested my favourite hobby is playing with other peoples cock'n'balls. Superb.	Jen pro případ , že by se někdo zajímal , můj oblíbený koníček je hrát s ostatními lidmi na kohoutky .	[1, 1, 0]	ERR
7873	<sen_neg> Your conspiracy to distort and remove facts is noted	Vaše spiknutí se zkreslením a odstraněním skutečností je zaznamenáno	[0, 0, 0]	NOT
4742	<sen_neu> REDIRECT Talk:Five points past Midnight in Bhopal	REDIRECT Talk : Pět bodů po půlnoci v Bhopalu	[0, 0, 0]	NOT
